,Date,Country,Area,Location,Activity,Age,Time,Species,Month,Fatal,Sex
2642,01-Apr-1990,USA,Hawaii,"Silver (Silva) Channels, Waialua, O'ahu",surfing,27.34582218257508,Unkown,White shark,April,N,M
2643,  24-Mar-1990,FIJI,Laucala Island,Unkown,swimming,30,Unkown,White shark,March,N,M
2644,05-Mar-1990,REUNION,Sainte-Marie,Baie de la Mare,surfing,27.34582218257508,Unkown,3 m [10'] bull shark,March,N,M
2645,17-Feb-1990,USA,Hawaii,"Mokapu, Kane'ohe Marine Air Corps Station, O'ahu",non representative,27.34582218257508,night,Two sharks seen in vicinity: 2.4 m & 4.25 m  [8' & 14'] TL,February,F,M
2646,05-Feb-1990,USA,Florida,"Monster Hole, Sebastian Inlet, Indian River County",non representative,33,Unkown,White shark,February,N,M
2647,12-Jan-1990,USA,California,"Montera Beach, San Mateo County",surfing,27.34582218257508,Unkown,3 m to 4 m [10' to 13'] white shark,January,N,M
2648,1990,USA,Florida,"Pensacola, Escambia County",surfing,17,Unkown,White shark,Unkown,N,M
2649,19-Dec-1989,USA,Hawaii,"90 miles east of Hilo, Hawai'i",non representative,27.34582218257508,Unkown,White shark,December,N,M
2650,03- Dec-1989,AUSTRALIA,Northern Territory,Gove Peninsula near Darwin,non representative,17,Unkown,"Tiger shark, 2m ",December,N,M
2651,02-Dec-1989,AUSTRALIA,Queensland,Fraser Island,swimming,27,Unkown,Shark involvement prior to death was not confirmed,December,N,M
2652,22-Nov-1989,AUSTRALIA,Victoria,Kilcunda,surfing,32,Unkown,White shark,November,N,M
2653,18-Nov-1989,SOUTH AFRICA,Western Cape Province,Melkbosstrand,non representative,29,Unkown,White shark,November,F,M
2654,12-Nov-1989,USA,Hawaii,"Ehukai Beach Park, Sunset Beach, O'ahu",non representative,27.34582218257508,evening,Shark involvement prior to death was not confirmed,November,N,M
2655,02-Nov-1989,AUSTRALIA,Queensland,Mermaid Waters,non representative,10,Unkown,"2 m shark, possibly a bronze whaler",November,N,M
2656,Reported 29-Oct-1989,AUSTRALIA,Northern Territory,Edith Falls,swimming,31,Unkown,White shark,october,N,F
2657,22-Oct-1989,AUSTRALIA,Tasmania,Shelly Point ,surfing,17,Unkown,2.7 m [9'] white shark,october,N,M
2658,14-Oct-1989,USA,Hawaii,"Kahe Point, O'ahu",non representative,27.34582218257508,afternoon,Shark involvement suspected but not confirmed,october,N,M
2659,11-Oct-1989,USA,Texas,Surfside Beach,surfing,12,evening,4' shark,october,N,M
2660,08-Oct-1989,USA,North Carolina,"Between Wrightsville Beach & Carolina Beach, New Hanover County",non representative,49,afternoon,Shark involvement suspected but not confirmed,october,N,M
2661,01-Oct-1989,AUSTRALIA,Victoria,"Surfers Point, Phillip Island",surfing,27.34582218257508,Unkown,White shark,october,N,M
2662,17-Sep-1989,SOUTH AFRICA,Western Cape Province,"Smitswinkel, False Bay",diving,29,afternoon,"White shark, identified by tooth pattern",September,N,M
2663,13-Sep-1989,USA,Florida,"Gulf of Mexico, 22 miles from Pensacola",non representative,51,afternoon,150-lb shark,September,N,M
2664,10-Sep-1989,USA,California,"Off Palos Verdes Estates, Los Angeles",non representative,27.34582218257508,Unkown,4 to 5 m white shark,September,N,M
2665,09-Sep-1989,USA,California,"Southeast Farallon Island, Farallon Islands",non representative,38,afternoon,4 m to 5 m [13' to 16.5']  white shark,September,N,M
2666,09-Sep-1989,USA,North Carolina,"Salvo, Dare County",surfing,31,Unkown,Sandbar shark,September,N,M
2667,03-Sep-1989,USA,California,24 km off Santa Catalina Island in the Channel Islands,non representative,46,Unkown,Blue Shark ,September,N,M
2668,29-Aug-1989,AUSTRALIA,Queensland,SeaWorld Theme Park,non representative,30,afternoon,Grey nurse shark,August,N,M
2669,22-Aug-1989,USA,Florida,"St Augustine, St Johns County",swimming,21,Unkown,1.2 m [4'] shark,August,N,M
2670,22-Aug-1989,SOUTH AFRICA,Western Cape Province,Mossel Bay,surfing,21,Unkown,>3.4 m [11'] white shark,August,N,M
2671,13-Aug-1989,AUSTRALIA,New South Wales,Lennox Head,surfing,17,morning,"Bronze whaler shark, 3 m [10'] ",August,N,M
2672,09-Aug-1989,BAHAMAS,Great Exuma Island,Highborn Cay,fishing,31,Unkown,White shark,August,N,F
2673,Reported    06-Aug-1989,AUSTRALIA,Queensland,Moreton Bay,boating,41,Unkown,3.5 m white shark,August,N,M
2674,27-Jul-1989,BERMUDA,Unkown,Unkown,non representative,35,Unkown,Shark involvement suspected but not confirmed,July,N,M
2675,20-Jul-1989,SOUTH AFRICA,Eastern Cape Province,Jeffreys Bay,surfing,34,Unkown,2.5 m [8.25'] white shark,July,N,M
2676,19-Jul-1989,REUNION,Sainte-Suzanne,Temple Tamoule,surfing,27.34582218257508,Unkown,White shark,July,F,M
2677,14-Jul-1989,USA,Florida,"Cocoa Beach, Brevard County",surfing,16,afternoon,White shark,July,N,M
2678,07-Jul-1989,USA,Texas,"Sargent Beach, Matagorda County",non representative,9,Unkown,4' shark,July,N,F
2679,29-Jun-1989,USA,Hawaii,"Anahola, Kaua'i",non representative,27.34582218257508,Unkown,White shark,June,N,M
2680,17-Jun-1989,USA,Louisiana,40 miles off Cocodrie,fishing,45,Unkown,1.8 m [6'] sandtiger shark,June,N,M
2681,06-Jun-1989,ITALY,Tuscany,"Marinella, between Punta Blanca & Marine del Carrara ",non representative,27.34582218257508,afternoon,3 m [10'] white shark,June,N,M
2682,05-Jun-1989,SOUTH AFRICA,Eastern Cape Province,Jeffreys Bay,surfing,16,Unkown,3 m [10'] white shark,June,N,M
2683,03-Jun-1989,SOUTH AFRICA,Eastern Cape Province,Gonubie,diving,28,afternoon,2.5 m [8.25'] white shark,June,N,M
2684,Jun-1989,JAPAN,Sea of Japan,Unkown,non representative,27.34582218257508,Unkown,White shark,June,N,M
2685,23-Apr-1989,USA,Florida,"Loggerhead Park, Juno Beach, Palm Beach County",swimming,19,Unkown,1.2 m [4'] shark,April,N,M
2686,12-Apr-1989,USA,Washington,"Pacific Beach, Grays Harbor County",non representative,27.34582218257508,Unkown,White shark,April,N,M
2687,09-Apr-1989,USA,California,"Monterey Bay, Monterey County",non representative,27.34582218257508,Unkown,5 m to 7 m white shark,April,N,M
2688,03-Apr-1989,USA,Hawaii,"Ho'okipa Beach, Pa'ia, Maui",non representative,27.34582218257508,Unkown,White shark,April,N,M
2689,Apr-1989,USA,Hawaii,"Kekaha Beach, Kaua'i",non representative,27.34582218257508,Unkown,White shark,April,N,M
2690,09-Mar-1989,AUSTRALIA,South Australia,"Waitpinga Beach, near Victor Harbor, Encounter Bay",surfing,27,Unkown,2 m [6.75'] white shark,March,F,M
2691,04-Mar-1989,AUSTRALIA,Western Australia,Near Broome in Roebuck Bay,non representative,27.34582218257508,Unkown,"Tiger shark, 3.5 m ",March,N,M
2692,19-Feb-1989,SOUTH AFRICA,Western Cape Province,Unkown,non representative,27.34582218257508,Unkown,3 m [10'] gaffed shark,February,N,M
2693,15-Feb-1989,SOUTH AFRICA,KwaZulu-Natal,Richards Bay,surfing,26,afternoon,White shark,February,N,M
2694,02-Feb-1989,ITALY,Tyrrhenian Sea,"Golfo di Baratti, near Piombino (Tuscany)",non representative,47,Unkown,6 m [20'] white shark,February,F,M
2695,26-Jan-1989,USA,California,"Latigo Point / Paradise Cove, west of Malibu, Los Angeles County",non representative,24,Unkown,Invalid,January,N,M
2696,26-Jan-1989,USA,California,"Latigo Point / Paradise Cove,west of Malibu, Los Angeles County",non representative,24,Unkown,5 m [16.5'] white shark,January,F,F
2697,20-Jan-1989,USA,Hawaii,"Waialua Beach, Moloka'i",non representative,10,Unkown,1.8 m to 2.4 m [6' to 8'] hammerhead shark,January,N,M
2698,20-Jan-1989,SOUTH AFRICA,KwaZulu-Natal,Isipingo,non representative,19,evening,White shark,January,N,M
2699,08-Jan-1989,USA,Hawaii,"Wailua, Kaua'i",non representative,27.34582218257508,Unkown,White shark,January,F,M
2700,03-Jan-1989,AUSTRALIA,New South Wales,"Half Tide Beach, Evans Head",non representative,17,Unkown,"Tiger shark, 4 m [13'] ",January,N,M
2701,1989,PAPUA NEW GUINEA,New Ireland,Kavieng,non representative,27.34582218257508,Unkown,7' silvertip shark,Unkown,N,F
2702,1989,USA,Virginia,"Coral Gardens Reef, 6 miles SSE of Chicoteague Inlet",non representative,27.34582218257508,Unkown,White shark,Unkown,N,M
2703,15-Dec-1988,CHILE,Valpariso Province,Valpariso,diving,27.34582218257508,Unkown,16' white shark,December,F,M
2704,08-Nov-1988,AUSTRALIA,Queensland,"Off North Keppel Island, off Yeppoon",non representative,17,Unkown,White shark,November,F,M
2705,07-Nov-1988,AUSTRALIA,Queensland,"Off North Keppel Island, off Yeppoon",non representative,62,Unkown,White shark,November,F,M
2706,24-Oct-1988,PHILIPPINES,Viscayan Sea,Unkown,non representative,27.34582218257508,Unkown,White shark,october,F,M
2707,23-Oct-1988,USA,Oregon,"Indian Beach, Ecola State Park, just north of Cannon Beach, Clatsop County ",surfing,21,evening,5.5 m to 6 m [18' to 20']  white shark,october,N,M
2708,22-Oct-1988,AUSTRALIA,Victoria,Phillip Island,surfing,38,Unkown,7' shark,october,N,M
2709,14-Oct-1988,USA,Florida,"Boca Raton, Palm Beach County",surfing,15,Unkown,6' shark,october,N,M
2710,11-Oct-1988,USA,Florida,"Fort Pierce, St. Lucie County ",surfing,30,Unkown,1.2 m to 1.5 m [4' to 5'] shark,october,N,M
2711,10-Oct-1988,USA,Florida,"Playalinda, Brevard County",surfing,23,evening,1.2 m to 1.5 m [4' to 5'] shark,october,N,M
2712,06-Oct-1988,AUSTRALIA,South Australia,Moama Beach,surfing,15,afternoon,White shark,october,N,M
2713,Oct-1988,USA,Florida,"Sanibel Island, Lee County",fishing,23,Unkown,1.2 m [4'] shark,october,N,F
2714,28-Sep-1988,USA,Florida,"New Smyrna Beach, Volusia County",surfing,21,afternoon,5' shark,September,N,M
2715,13-Sep-1988,USA,Florida,"Shell Island Panama City Beach, Bay County",walking,27.34582218257508,Unkown,1.8 m [6'] shark,September,N,F
2716,13-Sep-1988,USA,Florida,"Shell Island Panama City Beach, Bay County",non representative,38,afternoon,3 m [10'] bull shark,September,F,M
2717,22-Aug-1988,USA,Louisiana,New Orleans,non representative,27.34582218257508,Unkown,"Tiger shark, 1.8 m [6']",August,N,M
2718,22-Aug-1988,ITALY,Manfredonia ,Ippocampo,non representative,16,Unkown,White shark,August,N,M
2719,19-Aug-1988,JAPAN,Tokyo Prefecture,Ogasawara Islands,non representative,27.34582218257508,Unkown,White shark,August,N,M
2720,11-Aug-1988,USA,California,"Klamath River, Del Norte County",surfing,27,morning,2.4 m to 3 m [8' to 10'] white shark,August,N,M
2721,23-Jul-1988,BAHAMAS,Unkown,Unkown,non representative,27.34582218257508,Unkown,2 m to 2.5 m shark,July,N,M
2722,19-Jul-1988,BAHAMAS,Unkown,Unkown,non representative,28,Unkown,1.5 m [5'] Caribbean reef shark,July,N,M
2723,17-Jul-1988,BAHAMAS,Unkown,Unkown,non representative,35,Unkown,1.5 m [5'] Caribbean reef shark,July,N,M
2724,11-Jul-1988,USA,Florida,"Jensen Beach, Martin County",swimming,15,morning,White shark,July,N,F
2725,04-Jul-1988,USA,Florida,"New Smyrna Beach, Volusia County",surfing,37,afternoon,White shark,July,N,M
2726,04-Jul-1988,BAHAMAS,Unkown,Unkown,non representative,27.34582218257508,Unkown,1.5 m [5'] shark,July,N,M
2727,Jul-1988,BAHAMAS,Unkown,Unkown,fishing,27.34582218257508,Unkown,White shark,July,N,M
2728,16-Jun-1988,SOUTH AFRICA,Western Cape Province,Sculphoek,fishing,36,Unkown,White shark,June,N,M
2729,16-Jun-1988,USA,North Carolina,"Ocracoke, Hyde County",non representative,42,Unkown,Sandtiger shark,June,N,M
2730,09-Jun-1988,USA,South Carolina,"Sea Pines Beach Club, Hilton Head, Beaufort County",non representative,37,afternoon,Sand shark?,June,N,M
2731,05-Jun-1988,USA,Florida,"Daytona Beach, Volusia County",swimming,12,afternoon,White shark,June,N,M
2732,01-Jun-1988,USA,Florida,"Daytona Beach, Volusia County",surfing,25,Unkown,1.8 m to 2.4 m [6' to 8'] shark,June,N,M
2733,27-May-1988,SOUTH KOREA,Unkown,Unkown,non representative,38,Unkown,White shark,May,F,F
2734,10-May-1988,USA,Florida,"Paradise Beach Park, Brevard County",surfing,31,evening,White shark,May,N,M
2735,04-May-1988,USA,Florida,"Melbourne Beach, Brevard County",non representative,29,Unkown,White shark,May,N,M
2736,28-Apr-1988,REUNION,Saint-Louis,Embouchure de l'étang du Gol,non representative,27.34582218257508,evening,White shark,April,F,M
2737,24-Apr-1988,USA,California,"North of Morro Rock, San Luis Obispo County",surfing,27.34582218257508,Unkown,White shark,April,N,M
2738,15-Apr-1988,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",swimming,24,Unkown,White shark,April,N,M
2739,15-Apr-1988,USA,Hawaii,"Waihe'e, Maui",non representative,27.34582218257508,Unkown,Shark involvement prior to death was not confirmed,April,N,M
2740,14-Apr-1988,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",surfing,14,Unkown,White shark,April,N,M
2741,14-Apr-1988,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",surfing,27.34582218257508,Unkown,White shark,April,N,M
2742,10-Apr-1988,SOUTH AFRICA,KwaZulu-Natal,La Lucia,non representative,27.34582218257508,Unkown,Shark involvement prior to death was not confirmed,April,N,F
2743,31-Mar-1988,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",non representative,30,Unkown,White shark,March,N,F
2744,25-Mar-1988,USA,Hawaii,"Running Waters Beach, Ninini Point, Kaua'i",non representative,27.34582218257508,Unkown,White shark,March,N,M
2745,16-Mar-1988,SOUTH AFRICA,KwaZulu-Natal,Isipingo,surfing,17,Unkown,1.5 m to 2 m [5' to 6.75'] shark,March,N,M
2746,14-Mar-1988,REUNION,Saint-Pierre,Pic du Diable,surfing,27.34582218257508,Unkown,White shark,March,N,M
2747, 15-Feb-1988,SOUTH AFRICA,KwaZulu-Natal,"Brighton Beach, Durban",non representative,27.34582218257508,Unkown,"Raggedtooth shark, 2 m ",February,N,M
2748,14-Feb-1988,SOUTH AFRICA,Eastern Cape Province,Nahoon,surfing,20,evening,"1 m ""grey-colored"" shark",February,N,M
2749,13-Feb-1988,SOUTH AFRICA,KwaZulu-Natal,Mtunzini,non representative,15,Unkown,Zambezi shark (tooth fragments recovered),February,N,F
2750,12-Feb-1988,AUSTRALIA,Western Australia,18 km west of Bunbury,non representative,27.34582218257508,Unkown,"Mako shark, 3 m [10'], 200-kg [441-lb] ",February,N,M
2751,02-Feb-1988,Fiji,Vanua Levu,Unkown,non representative,22,Unkown,"Tiger shark, 3 m ",February,N,M
2752,27-Jan-1988,SOUTH AFRICA,KwaZulu-Natal,Durban,surfing,22,morning,Shark involvement not confirmed,January,N,M
2753,21-Jan-1988,AUSTRALIA,Torres Strait,Unkown,non representative,27.34582218257508,Unkown,Shark involvement prior to death was not confirmed,January,N,M
2754,14-Jan-1988,USA,Louisiana,Unkown,non representative,27.34582218257508,Unkown,Mako shark,January,N,M
2755,06-Jan-1988,SOUTH AFRICA,Western Cape Province,Struisbaai,non representative,33,Unkown,1.5 m copper shark,January,N,M
2756,Reported      05-Jan-1988,SOUTH AFRICA,Western Cape Province,Great Brak River,non representative,27.34582218257508,Unkown,6 m shark,January,N,M
2757,1988,AUSTRALIA,New South Wales,Sydney,surfing,12,Unkown,Wobbegong shark,Unkown,N,M
2758,20-Dec-1987,PHILIPPINES,Mindoro,Off Manila,non representative,27.34582218257508,Unkown,White shark,December,F,M
2759,17-Dec-1987,USA,Florida,"Palm Beach, Palm Beach County",surfing,16,afternoon,1.8 m [6'] blacktip shark,December,N,M
2760,13-Dec-1987,AUSTRALIA,New South Wales,Shoalhaven,non representative,16 to 18,Unkown,Shark involvement prior to death was not confirmed,December,N,F
2761,21-Nov-1987,USA,Florida,"North of Jupiter Inlet, Palm Beach County",surfing,15,Unkown,White shark,November,N,M
2762,Nov-1987,SOUTH AFRICA,KwaZulu-Natal,St. Lucia,non representative,27.34582218257508,Unkown,Shark involvement prior to death was not confirmed,November,N,M
2763,26-Oct-1987,USA,California,"Davenport Light, San Mateo County",surfing,20,evening,2 m [6.75'] shark,october,N,M
2764,25-Oct-1987,SOUTH AFRICA,KwaZulu-Natal,Richards Bay,surfing,14,afternoon,Questionable incident,october,N,M
2765,11-Oct-1987,SOUTH AFRICA,Western Cape Province,"Seal Island, False Bay",fishing,21,Unkown,White shark,october,N,M
2766,06-Oct-1987,DOMINICAN REPUBLIC,Between DR and Puerto Rico,Mona Passage,non representative,27.34582218257508,Unkown,40 to 50 sharks attacked survivors in the water,october,F,M
2767,18-Sep-1987,AUSTRALIA,South Australia,"Merino Rocks, Adelaide",non representative,47,Unkown,White shark,September,F,M
2768,13-Sep-1987,SOUTH AFRICA,Western Cape Province,Still Bay,surfing,24,morning,3.5 m [11.5']  white shark,September,N,M
2769,20-Aug-1987,USA,Florida,"Satellite  Beach, Brevard County",fishing,12,morning,1.2 m to 1.5 m [4' to 5'] shark,August,N,M
2770,15-Aug-1987,USA,California,"Tunitas Beach, San Mateo County",surfing,40,morning,5.7 m white shark,August,N,M
2771,21-Jul-1987,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",surfing,27,Unkown,3' to 4' shark,July,N,M
2772,12-Jul-1987,USA,Texas,"Mustang Island, near Port Aransas",non representative,32,evening,4' shark,July,N,F
2773,12-Jul-1987,USA,Texas,"Mustang Island, near Port Aransas",fishing,16,afternoon,4' shark,July,N,F
2774,11-Jul-1987,USA,South Carolina,Winyah Bay,non representative,27.34582218257508,Unkown,12' shark,July,N,M
2775,09-Jul-1987,BAHAMAS,Exuma Islands,Sampson Cay,non representative,35,afternoon,White shark,July,N,M
2776,Jul-1987,BAHAMAS,Unkown,Unkown,fishing,27.34582218257508,Unkown,2.5 to 3 m shark,July,N,M
2777,13-Jun-1987,USA,Florida,"Nest Key, Monroe County",non representative,27.34582218257508,afternoon,1.5 m [5'] blacktip shark,June,N,M
2778,25-May-1987,USA,South Carolina,"Myrtle Beach, Horry County",non representative,12,Unkown,1.5 m to 1.8 m [5' to 6'] shark,May,N,M
2779,08-May-1987,USA,Florida,"St Augustine, St. Johns County",surfing,27.34582218257508,Unkown,White shark,May,N,M
2780,06-May-1987,AUSTRALIA,New South Wales,Unkown,non representative,34,Unkown,White shark,May,N,M
2781,19-Apr-1987,SOUTH AFRICA,KwaZulu-Natal,Port Shepstone,non representative,27.34582218257508,Unkown,Shark involvement prior to death was not confirmed,April,N,M
2782,18-Apr-1987,USA,Texas,"Mustang Island, near Port Aransas",swimming,16,evening,White shark,April,N,F
2783,15-Apr-1987,USA,Hawaii,"Kailua-Kona, Hawai'i",non representative,27.34582218257508,Unkown,White shark,April,F,M
2784,01-Apr-1987,VANUATU,Malampa Province,Vao Island,swimming,8,afternoon,4.3 m shark,April,F,M
2785,30-Mar-1987,AUSTRALIA,Western Australia,Fourth Beach / Twilgth Beach,surfing,18,Unkown,"Bronze whaler shark, 2 m to 3 m ",March,N,M
2786,30-Mar-1987,SOUTH AFRICA,Western Cape Province,Muizenberg,non representative,27.34582218257508,Unkown,3 m white shark,March,N,M
2787,28-Feb-1987,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",surfing,27.34582218257508,Unkown,Spinner shark,February,N,M
2788,19-Feb-1987,SOLOMON ISLANDS,Between Honiara & Isabel Island,Unkown,non representative,27.34582218257508,Unkown,White shark,February,F,M
2789,28-Jan-1987,SOUTH AFRICA,Eastern Cape Province,Eerste River,fishing,30,afternoon,>2.5 m [8.25'] white shark,January,N,M
2790,06-Jan-1987,AUSTRALIA,Queensland,Lizard Island,swimming,37,morning,White shark,January,N,M
2791,1987,MONTENEGRO,Adriatic Sea,"Mogren Beach, Budva",non representative,27.34582218257508,Unkown,Doubtful / Unconfirmed attack / Unable to verify in local records,Unkown,N,M
2792,1987,ITALY,Tyrrhenian Sea,"Marciana Marina, Isola d'Elba",non representative,27.34582218257508,Unkown,White shark,Unkown,N,M
2793,31-Dec-1986,SOUTH AFRICA,Western Cape Province,Agulhas Banks,fishing,27.34582218257508,afternoon,"Raggedtooth shark, 2.5 m [8.25'] ",December,N,M
2794,22-Dec-1986,SOUTH AFRICA,Western Cape Province,SAOU Strand,non representative,21,evening,3 m [10'] white shark,December,F,M
2795,11-Dec-1986,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",surfing,40,afternoon,1.8 m to 2.1 m [6' to 7'] spinner or blacktip shark,December,N,M
2796,06-Dec-1986,BAHAMAS,Florida Straits,Off Cay Sal  Banks,non representative,37,Unkown,White shark,December,N,M
2797,06-Dec-1986,USA,California,"Monastery Beach, Carmel River State Park, Monterey Peninsula, Monterey California",non representative,27,morning,5 m to 6 m [16.5' to 20'] white shark,December,N,M
2798,04-Dec-1986,SOUTH AFRICA,Western Cape Province,Platbank,fishing,22,Unkown,Invalid,December,N,M
2799,Dec-1986,NEW CALEDONIA,Unkown,I'le Ouen,fishing,27.34582218257508,Unkown,Tiger shark,December,N,M
2800,30-Nov-1986,USA,Florida,"Daytona Beach, Volusia County",surfing,17,morning,White shark,November,N,M
2801,19-Nov-1986,USA,Florida,"Indiatlantic, Brevard County",surfing,26,Unkown,White shark,November,N,M
2802,04-Nov-1986,USA,Florida,"Tiger Shores Beach, Martin County",surfing,23,Unkown,White shark,November,N,M
2803,17-Oct-1986,SOUTH AFRICA,KwaZulu-Natal,Umhlanga,non representative,27.34582218257508,Unkown,"Raggedtooth shark, 1.96 m, 140-kg ",october,N,M
2804,03-Oct-1986,USA,Florida,"Sanibel Island, Lee County",swimming,6,evening,"Lemon shark, 1.8 m to 2.4 m [6' to 8'], tooth fragment recovered",october,N,F
2805,05-Oct-1986,SOUTH AFRICA,KwaZulu-Natal,St. Michaels,non representative,32,morning,1.6 m shark,october,N,M
2806,01-Oct-1986,AUSTRALIA,Western Australia,"Direction Island, Cocos Islands",non representative,27.34582218257508,Unkown,White shark,october,N,M
2807,Oct-1986,USA,Florida,"Floridana Beach, Brevard County",surfing,28,Unkown,Bull shark,october,N,M
2808,Reported 22-Sep-1986 ,USA,Florida,"Pinellas Point, Tampa Bay",non representative,27.34582218257508,Unkown,Shark involvement prior to death was not confirmed,September,N,M
2809,Sep-1986,USA,Florida,"Ormond Beach / Daytona Beach, Volusia County",surfing,27.34582218257508,Unkown,White shark,September,N,M
2810,Sep-1986,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",surfing,18,Unkown,White shark,September,N,M
2811,19-Aug-1986,USA,North Carolina,"Masonboro Inlet, New Hanover County",surfing,16,Unkown,White shark,August,N,M
2812,10-Aug-1986,SOUTH AFRICA,Western Cape Province,Reef on seaward side of Geyser Island,fishing,35,morning,Invalid,August,N,M
2813,03-Aug-1986,AUSTRALIA,New South Wales,"North Head, Sydney Harbour",non representative,27.34582218257508,Unkown,Wobbegong shark,August,N,F
2814,Aug-1986,FRANCE,Gulf of Lyons,Gruissan,non representative,27.34582218257508,Unkown,White shark,August,N,M
2815,26-Jul-1986,AUSTRALIA,Western Australia,3 km west of Rottnest Island,non representative,27.34582218257508,Unkown,Tooth fragment of a white shark recovered. Authorities believed shark was 6 m [20']  total length,July,N,M
2816,09-Jul-1986,USA,South Carolina,"Myrtle Beach, Horry County",non representative,8,Unkown,1.5 m [5'] shark,July,N,M
2817,Jul-1986,SOUTH AFRICA,KwaZulu-Natal,LaMercy,fishing,26,Unkown,1.2 m [4'] dusky shark,July,N,M
2818,18-May-1986,AUSTRALIA,New South Wales,"North Head, Sydney Harbour",non representative,27.34582218257508,Unkown,Wobbegong shark,May,N,M
2819,15-May-1986,SOUTH KOREA,Unkown,Unkown,non representative,27.34582218257508,Unkown,White shark,May,F,M
2820,20-Apr-1986,USA,Hawaii,"Kaliiwi, Kauai",non representative,27.34582218257508,Unkown,White shark,April,F,M
2821,Apr-1986,SPAIN,Catalonia,Lloret-de-Mar,non representative,27.34582218257508,Unkown,2 m shark,April,N,M
2822,18-Mar-1986,SPAIN,Cádiz,Tarifa ,surfing,27.34582218257508,Unkown,3.5 m white shark,March,N,M
2823,15-Mar-1986,SOUTH AFRICA,KwaZulu-Natal,"North Beach, Durban",swimming,26,Unkown,>1 m shark,March,N,M
2824,5-Mar-1986,SOUTH AFRICA,Eastern Cape Province,"The Fence, King's Beach, Port Elizabeth",surfing,23,Unkown,2 m [6.75'] shark,March,N,M
2825,18-Feb-1986,SOUTH AFRICA,Eastern Cape Province,East London,surfing,21,afternoon,>2.4 m [8'] white shark,February,N,M
2826,17-Feb-1986,SOUTH AFRICA,Eastern Cape Province,Cape Recife,surfing,27.34582218257508,evening,White shark,February,N,M
2827,07-Feb-1986,SOUTH AFRICA,Eastern Cape Province,"King's Beach, Port Elizabeth",swimming,46,evening,Raggedtooth shark,February,N,M
2828,06-Feb-1986,SOUTH AFRICA,Western Cape Province,Arniston,fishing,29,afternoon,"Raggedtooth shark, 2 m [6.75'] ",February,N,M
2829,01-Feb-1986,AUSTRALIA,Victoria,Jan Juc Beach,surfing,29,Unkown,"Bronze whaler shark, 3.5 m ",February,N,M
2830,12-Jan-1986,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",surfing,22,Unkown,Blacktip shark,January,N,M
2831,1986,USA,California,"Linda Mar Beach, Pedro Point, San Mateo County",surfing,16,afternoon,1.5 m [5'] shark,Unkown,N,M
2832,22-Dec-1985,SOUTH AFRICA,KwaZulu-Natal,Garvies Beach,surfing,27.34582218257508,Unkown,White shark,December,N,M
2833,10-Dec-1985,USA,North Carolina,New Hanover County,non representative,27.34582218257508,Unkown,Sandtiger shark,December,N,M
2834,11-Nov-1985,AUSTRALIA,Queensland,Gladstone,non representative,27.34582218257508,afternoon,1m shark,November,N,M
2835,05-Nov-1985,USA,California,"Southeast Farallon Island, Farallon Islands",non representative,27.34582218257508,Unkown,5.2 to 5.8 m white shark,November,N,M
2836,03-Nov-1985,USA,California,5 miles south of Redondo Beach,non representative,24,Unkown,White shark,November,N,M
2837,24-Oct-1985,SOUTH AFRICA,Eastern Cape Province,East London,non representative,22,morning,2.5 m [8.25'] white shark,october,N,M
2838,22-Oct-1985,USA,California,"Point Conception, Santa Barbara County",non representative,46,afternoon,2 m to 2.5 m [6.75'  to 8.25'] sixgill or sevengill shark,october,N,M
2839,18-Oct-1985,USA,Hawaii,"Little Glass Shacks, Princeville, Kaua'i",non representative,33,Unkown,"Thought to involve a Tiger shark,  3.7 m [12'] ",october,N,M
2840,12-Oct-1985,USA,Hawaii,"Barbers Point, O'ahu",non representative,24,Unkown,1.8 m to 2.4 m [6' to 8'] shark,october,N,M
2841,  05-Oct-1985,USA,Alabama,"Gulf Shores, Baldwin County",non representative,27.34582218257508,Unkown,"6', 100-lb shark",october,N,M
2842,28-Sep-1985,USA,California,"Elephant Rock near Tomales Point, Marin County",non representative,27.34582218257508,Unkown,4 m to 5 m [13' to 16.5'] white shark,September,N,M
2843,08-Sep-1985,SOUTH AFRICA,KwaZulu-Natal,T.O. Strand,swimming,21,Unkown,Shark involvement prior to death was not confirmed,September,N,M
2844,08-Sep-1985,USA,Florida,"Palm Beach, Palm Beach County",non representative,27.34582218257508,afternoon,1.8 m silky shark,September,N,M
2845,05-Sep-1985,USA,Florida,"Fort Pierce Inlet, St Lucie County",swimming,17,afternoon,Invalid,September,N,M
2846,22-Aug-1985,USA,South Carolina,"Palmetto Dunes, Hilton Head, Beaufort County",fishing,87,Unkown,White shark,August,N,M
2847,20-Aug-1985,USA,Florida,"New Smyrna Beach, Volusia County",fishing,11,afternoon,Shark involvement not confirmed,August,N,M
