,Date,Country,Area,Location,Activity,Age,Time,Species,Month,Fatal,Sex
2084,06-Dec-1999,BRAZIL,Rio de Janeiro,"Rio de Janeiro, Guanabara Bay",fishing,39,morning,Shark involvement not confirmed,December,N,M
2085,02-Dec-1999,USA,Florida,"Boynton Beach, Palm Beach County",surfing,35,afternoon,White shark,December,N,M
2086,30-Nov-1999,USA,Florida,"Palm Beach, Palm Beach County",surfing,19,afternoon,White shark,November,N,M
2087,23-Nov-1999,USA,Hawaii,"Big Island off Kona Village Resort, North Kona",swimming,51,Unkown,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] ",November,N,F
2088,15-Nov-1999,USA,California,"Waddell Reef, Santa Cruz County",surfing,27.34582218257508,Unkown,White shark,November,N,M
2089,13 -Nov-1999,SOUTH AFRICA,KwaZulu-Natal,Umtentweni,surfing,35,Unkown,"White shark, 3 m [10'] ",November,N,M
2090,06-Nov-1999,BRAZIL,Rio de Janeiro,"Rio de Janeiro, Guanabara Bay",non representative,39,morning,1.3 to 1.6 m shark,November,N,M
2091,Nov-1999,MARSHALL ISLANDS,Alinglaplap Atoll,Island J4H,swimming,12,Unkown,"Grey reef shark, 1.2 m [4'] ",November,N,M
2092,Nov-1999,MARSHALL ISLANDS,Alinglaplap Atoll,Island J4H,swimming,12,Unkown,"Grey reef shark, 1.2 m [4'] ",November,N,M
2093,30-Oct-1999,USA,Florida,"Daytona Beach, Volusia County",non representative,45,evening,White shark,october,N,M
2094,30-Oct-1999,USA,Florida,"Gulfstream Park beach, Palm Beach County",non representative,13,afternoon,White shark,october,N,M
2095,20-Oct-1999,USA,Florida,"Pet Den, Satellite Beach, Brevard County",surfing,27.34582218257508,Unkown,"Lemon shark, 2.7 m [9'] ",october,N,M
2096,01-Oct-1999,USA,Hawaii,Old Kona Airport State Park,non representative,16,evening,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] ",october,N,M
2097,29-Sep-1999,USA,Florida,"South side of Ponce de Leon Inlet, Volusia County",non representative,22,Unkown,White shark,September,N,M
2098,24-Sep-1999,ITALY,Adriatic Sea,San Benedetto,non representative,27.34582218257508,Unkown,Said to involve a 7 m [23'] white shark,September,N,M
2099,19-Sep-1999,USA,California,"North of Pidgeon Point, San Mateo County",non representative,37,evening,White shark,September,N,M
